artifact_name,project_name,metric_name,sample_date,amount
simbolik-examples,runtimeverification,GITHUB_active_developers_monthly,2025-01-01,1
pyth-sdk-rs,pyth-network,GITHUB_active_developers_monthly,2025-01-01,1
audit-reports,pyth-network,GITHUB_active_developers_monthly,2025-01-01,1
rfc3161-client,trailofbits,GITHUB_active_developers_monthly,2025-01-01,2
redstone-docs,redstone-finance,GITHUB_active_developers_monthly,2025-01-01,4
test-fuzz,trailofbits,GITHUB_active_developers_monthly,2025-03-01,2
passport-embed,passportxyz,GITHUB_active_developers_monthly,2025-01-01,3
necessist,trailofbits,GITHUB_active_developers_monthly,2025-03-01,2
governance,pyth-network,GITHUB_active_developers_monthly,2025-03-01,1
insight-blueprint-starter,third-web,GITHUB_active_developers_monthly,2025-02-01,2
are-we-pep740-yet,trailofbits,GITHUB_active_developers_monthly,2025-02-01,1
insight,third-web,GITHUB_active_developers_monthly,2025-05-01,2
mir-semantics,runtimeverification,GITHUB_active_developers_monthly,2025-05-01,4
oss-directory,opensource-observer,GITHUB_active_developers_monthly,2025-01-01,4
redstone-showroom,redstone-finance,GITHUB_active_developers_monthly,2025-01-01,1
revm,arbos-foundry-bernard-wagner,GITHUB_active_developers_monthly,2025-01-01,1
cargo-unmaintained,trailofbits,GITHUB_active_developers_monthly,2025-01-01,2
passport-scorer,passportxyz,GITHUB_active_developers_monthly,2025-01-01,3
fairyringcontract,fairblock,GITHUB_active_developers_monthly,2025-03-01,1
nyc-infosec,trailofbits,GITHUB_active_developers_monthly,2025-04-01,1
pip-plugin-pep740,trailofbits,GITHUB_active_developers_monthly,2025-04-01,1
install-kaas,runtimeverification,GITHUB_active_developers_monthly,2025-04-01,1
oss-directory,opensource-observer,GITHUB_active_developers_monthly,2025-04-01,4
publications,runtimeverification,GITHUB_active_developers_monthly,2025-04-01,1
elizaos-agent-0.25.9,rather_labs,GITHUB_active_developers_monthly,2025-04-01,1
stylus-cm-backend,cobuilders-xyz,GITHUB_active_developers_monthly,2025-04-01,2
pyth-observer,pyth-network,GITHUB_active_developers_monthly,2025-04-01,1
walnut-landingpage,walnuthq,GITHUB_active_developers_monthly,2025-04-01,2
go-mutexasserts,trailofbits,GITHUB_active_developers_monthly,2025-05-01,1
build-wrap,trailofbits,GITHUB_active_developers_monthly,2025-05-01,1
imp-semantics,runtimeverification,GITHUB_active_developers_monthly,2025-03-01,1
passport,passportxyz,GITHUB_active_developers_monthly,2025-03-01,3
insights,opensource-observer,GITHUB_active_developers_monthly,2025-03-01,3
9lives.so,9lives-fluidity-money,GITHUB_active_developers_monthly,2025-03-01,3
cargo-line-test,trailofbits,GITHUB_active_developers_monthly,2025-03-01,1
client-clara,redstone-finance,GITHUB_active_developers_monthly,2025-03-01,2
pyth-agent,pyth-network,GITHUB_active_developers_monthly,2025-03-01,1
walnut-landingpage,walnuthq,GITHUB_active_developers_monthly,2025-02-01,1
noir-libs-server,walnuthq,GITHUB_active_developers_monthly,2025-02-01,1
empirehacking.nyc,trailofbits,GITHUB_active_developers_monthly,2025-02-01,1
stable-mir-json,runtimeverification,GITHUB_active_developers_monthly,2025-02-01,2
redstone-oracles-monorepo,redstone-finance,GITHUB_active_developers_monthly,2025-05-01,1
walnut-dbg,walnuthq,GITHUB_active_developers_monthly,2025-03-01,1
chat-bot-template,rather_labs,GITHUB_active_developers_monthly,2025-03-01,1
kontrol,runtimeverification,GITHUB_active_developers_monthly,2025-03-01,2
instafix-llvm,trailofbits,GITHUB_active_developers_monthly,2025-03-01,2
nebula-python,third-web,GITHUB_active_developers_monthly,2025-01-01,1
gelato-relayer-mocked-manifest,redstone-finance,GITHUB_active_developers_monthly,2025-03-01,1
miden-playground,walnuthq,GITHUB_active_developers_monthly,2025-03-01,1
passport-embed,passportxyz,GITHUB_active_developers_monthly,2025-05-01,2
necessist,trailofbits,GITHUB_active_developers_monthly,2025-05-01,3
awesome-oso,opensource-observer,GITHUB_active_developers_monthly,2025-05-01,1
kontrol,runtimeverification,GITHUB_active_developers_monthly,2025-05-01,3
instafix-llvm,trailofbits,GITHUB_active_developers_monthly,2025-05-01,1
9lives.so,9lives-fluidity-money,GITHUB_active_developers_monthly,2025-04-01,3
passport-scorer,passportxyz,GITHUB_active_developers_monthly,2025-04-01,4
redstone-oracles-monorepo,redstone-finance,GITHUB_active_developers_monthly,2025-04-01,1
gh-workflows,passportxyz,GITHUB_active_developers_monthly,2025-04-01,1
fairates,fairblock,GITHUB_active_developers_monthly,2025-05-01,1
onchain-query,passportxyz,GITHUB_active_developers_monthly,2025-05-01,1
solang,solang-hyperledger-solang,GITHUB_active_developers_monthly,2025-05-01,2
pypi-attestations,trailofbits,GITHUB_active_developers_monthly,2025-05-01,2
komet,runtimeverification,GITHUB_active_developers_monthly,2025-05-01,2
gelato-relayer-mocked-manifest,redstone-finance,GITHUB_active_developers_monthly,2025-04-01,1
dagster-sqlmesh,opensource-observer,GITHUB_active_developers_monthly,2025-04-01,3
pyth-examples,pyth-network,GITHUB_active_developers_monthly,2025-04-01,2
sqlmesh,opensource-observer,GITHUB_active_developers_monthly,2025-04-01,1
redstone-docs,redstone-finance,GITHUB_active_developers_monthly,2025-04-01,3
js,third-web,GITHUB_active_developers_monthly,2025-04-01,5
necessist,trailofbits,GITHUB_active_developers_monthly,2025-04-01,5
chat-bot-template,rather_labs,GITHUB_active_developers_monthly,2025-05-01,1
mcp-figma,trailofbits,GITHUB_active_developers_monthly,2025-04-01,1
testing-handbook,trailofbits,GITHUB_active_developers_monthly,2025-05-01,1
cairovm.codes,walnuthq,GITHUB_active_developers_monthly,2025-05-01,1
skribe,runtimeverification,GITHUB_active_developers_monthly,2025-05-01,3
llvm-backend,runtimeverification,GITHUB_active_developers_monthly,2025-05-01,1
documentation,pyth-network,GITHUB_active_developers_monthly,2025-04-01,4
governance,pyth-network,GITHUB_active_developers_monthly,2025-04-01,2
sigstore-rekor-types,trailofbits,GITHUB_active_developers_monthly,2025-04-01,1
oso,opensource-observer,GITHUB_active_developers_monthly,2025-05-01,8
per,pyth-network,GITHUB_active_developers_monthly,2025-05-01,5
9lives.so,9lives-fluidity-money,GITHUB_active_developers_monthly,2025-05-01,3
anchor-coverage,trailofbits,GITHUB_active_developers_monthly,2025-05-01,2
pyth-agent,pyth-network,GITHUB_active_developers_monthly,2025-01-01,1
testing-handbook,trailofbits,GITHUB_active_developers_monthly,2025-01-01,1
windows-ctl,trailofbits,GITHUB_active_developers_monthly,2025-01-01,1
haskell-backend,runtimeverification,GITHUB_active_developers_monthly,2025-01-01,2
twa,trailofbits,GITHUB_active_developers_monthly,2025-01-01,1
enclave,enclave-gnosisguild,GITHUB_active_developers_monthly,2025-03-01,1
build-wrap,trailofbits,GITHUB_active_developers_monthly,2025-01-01,2
komet,runtimeverification,GITHUB_active_developers_monthly,2025-03-01,1
skribe,runtimeverification,GITHUB_active_developers_monthly,2025-03-01,1
simbolik-vscode,runtimeverification,GITHUB_active_developers_monthly,2025-03-01,1
vast,trailofbits,GITHUB_active_developers_monthly,2025-03-01,1
noir-libs-client,walnuthq,GITHUB_active_developers_monthly,2025-03-01,1
optimism-ci,runtimeverification,GITHUB_active_developers_monthly,2025-02-01,1
k,runtimeverification,GITHUB_active_developers_monthly,2025-02-01,1
evm-equivalence,runtimeverification,GITHUB_active_developers_monthly,2025-02-01,1
passport-embed,passportxyz,GITHUB_active_developers_monthly,2025-02-01,3
cargo-unmaintained,trailofbits,GITHUB_active_developers_monthly,2025-05-01,2
noirhack,rather_labs,GITHUB_active_developers_monthly,2025-05-01,2
